;File;Content.DescriptionLevel;Content.Title;Content.OriginatingSystemId;Content.Description;Content.Tag;Content.Writer.FullName;Content.Writer.Identifier;Content.Addressee.FullName;Content.Addressee.Identifier;Content.CreatedDate;Content.SentDate;Content.ReceivedDate;Content.StartDate;Content.EndDate;Content.TextContent;Content.Keywords
0;Ensemble des messages électroniq/Top of Personal Folders/Inbox/this message contains embedded M/-000001cc306d-76f41d20-64dc5760-.eml;Item;message 1;<000001cc306d$76f41d20$64dc5760$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:46:39;2011-06-21T23:46:39;;;This is first message;message,is,first,This
1;Ensemble des messages électroniq/Top of Personal Folders/Inbox/this message contains embedded M/-000801cc306d-83fbaf60-8bf30e20-.eml;Item;message 2;<000801cc306d$83fbaf60$8bf30e20$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:47:01;2011-06-21T23:47:01;;;"Message 2

 

Regards,

Saqib Razzaq";Saqib,Regards,Razzaq,Message
2;Ensemble des messages électroniq/Top of Personal Folders/Inbox/this message contains embedded M;Item;this message contains embedded MSG;<002001cc306d$ad9f5290$08ddf7b0$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:48:10;2011-06-21T23:48:10;;;this message contains embedded MSG;this,message,embedded,contains
3;Ensemble des messages électroniq/Top of Personal Folders/Inbox/-001001cc306d-914cf4d0-b3e6de70-.eml;Item;check sent date of this message;<001001cc306d$914cf4d0$b3e6de70$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:47:23;2011-06-21T23:47:23;;;Check sent date of this message;this,sent,of,message
4;Ensemble des messages électroniq/Top of Personal Folders/Inbox/-000801cc306d-83fbaf60-8bf30e20-.eml;Item;message 2;<000801cc306d$83fbaf60$8bf30e20$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:47:01;2011-06-21T23:47:01;;;"Message 2

 

Regards,

Saqib Razzaq";Saqib,Regards,Razzaq,Message
5;Ensemble des messages électroniq/Top of Personal Folders/Inbox/-000001cc306d-76f41d20-64dc5760-.eml;Item;message 1;<000001cc306d$76f41d20$64dc5760$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:46:39;2011-06-21T23:46:39;;;This is first message;message,is,first,This
6;Ensemble des messages électroniq/Top of Personal Folders/Inbox/-C7B63379-9BBD-4164-AC1C-5CF39AC.eml;Item;Microsoft Office Outlook Test Message;<C7B63379-9BBD-4164-AC1C-5CF39ACAA682@XP>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;;2011-06-21T23:44:21;;;This is an e-mail message sent automatically by Microsoft Office Outlook while testing the settings for your account.;your,while,the,testing
7;Ensemble des messages électroniq/Top of Personal Folders/Inbox/-8307EFB2-6104-4800-A49D-110706A.eml;Item;Microsoft Outlook Test Message;<8307EFB2-6104-4800-A49D-110706A43099@XP>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;;2011-06-21T23:42:35;;;This is an e-mail message sent automatically by Microsoft Outlook while testing the settings for your account.;your,while,the,testing
8;Ensemble des messages électroniq/Top of Personal Folders/Inbox/Multiple attachments/text-file.txt;Item;text file.txt;;"Document ""text file.txt joint";;;;;;;;;;;"hello

this is a text file.
";this,text,is,hello
9;Ensemble des messages électroniq/Top of Personal Folders/Inbox/Multiple attachments/Sunset.jpg;Item;Sunset.jpg;;"Document ""Sunset.jpg joint";;;;;;;;;;;;nan
10;Ensemble des messages électroniq/Top of Personal Folders/Inbox/Multiple attachments/Blue-hills.jpg;Item;Blue hills.jpg;;"Document ""Blue hills.jpg joint";;;;;;;;;;;;nan
11;Ensemble des messages électroniq/Top of Personal Folders/Inbox/Multiple attachments;Item;Multiple attachments;<003c01cc306e$17006760$45013620$@razzaq@xp.local>;;;saqib razzaq;saqib.razzaq@xp.local;saqib razzaq;saqib.razzaq@xp.local;;2011-06-21T23:51:07;2011-06-21T23:51:07;;;This message contains multiple attachments;multiple,message,contains,attachments
12;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image002.png;Item;image002.png;;"Document ""image002.png joint";;;;;;;;;;;;nan
13;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image003.png;Item;image003.png;;"Document ""image003.png joint";;;;;;;;;;;"Aspose.Words

";AsposeWords
14;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image004.png;Item;image004.png;;"Document ""image004.png joint";;;;;;;;;;;;nan
15;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image005.png;Item;image005.png;;"Document ""image005.png joint";;;;;;;;;;;"dit

";dit
16;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image006.png;Item;image006.png;;"Document ""image006.png joint";;;;;;;;;;;"Aspose.Pdf

Se

";Se,AsposePdf
17;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image007.png;Item;image007.png;;"Document ""image007.png joint";;;;;;;;;;;" 

TECHNICAL
ARTICLE

";TECHNICAL,ARTICLE
18;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image008.png;Item;image008.png;;"Document ""image008.png joint";;;;;;;;;;;" 

TUTORIAL
VIDEOS

";VIDEOS,TUTORIAL
19;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image009.png;Item;image009.png;;"Document ""image009.png joint";;;;;;;;;;;"Eine
Cuy

MS OFFICE
TO ASPOSE

";TO,OFFICE,MS,Eine
20;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image010.gif;Item;image010.gif;;"Document ""image010.gif joint";;;;;;;;;;;;nan
21;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image011.png;Item;image011.png;;"Document ""image011.png joint";;;;;;;;;;;;nan
22;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image012.gif;Item;image012.gif;;"Document ""image012.gif joint";;;;;;;;;;;;nan
23;Ensemble des messages électroniq/Top of Personal Folders/Inbox/HTML body/image001.png;Item;image001.png;;"Document ""image001.png joint";;;;;;;;;;;"RS) ASPO S 3 enced cee gee

";gee,enced,cee,S
